Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-printer-air-advanced-digital,Compact Printer Air Advanced Digital,"```html
<p><strong>Compact Printer Air Advanced Digital</strong></p>
<p>Experience seamless organization with our advanced digital printer. This compact device is designed to enhance your productivity and streamline your printing tasks.</p>
<ul>
    <li>High-quality printing</li>
    <li>Compact design for easy storage</li>
    <li>Advanced digital features for efficient use</li>
    <li>Ideal for home or office settings</li>
</ul>
```","Garner, Boyle and Flynn",Books & Stationery,,pre_order,Large,Large,2091465262179,265
tablet,Tablet,"```html
<h1>Tablet</h1>
<p>Discussion loss politics free one thousand.</p>
```",Mueller Inc,Shoes & Footwear,,in_stock,8x10 in,8x10 in,5286196620740,502
smart-blender-cooker,Smart Blender Cooker,"```html
<p><strong>Smart Blender Cooker</strong></p>
<p>The Smart Blender Cooker is your ultimate kitchen companion, designed to simplify meal preparation and enhance your cooking experience.</p>
<ul>
    <li><strong>Versatile Functionality:</strong> Blend, cook, and steam all in one appliance.</li>
    <li><strong>User-Friendly Interface:</strong> Easy-to-use controls for effortless operation.</li>
    <li><strong>Compact Design:</strong> Fits perfectly in any kitchen space.</li>
    <li><strong>Durable Construction:</strong> Built to last with high-quality materials.</li>
    <li><strong>Easy to Clean:</strong> Removable parts for hassle-free cleaning.</li>
</ul>
<p>Transform your cooking with the Smart Blender Cooker!</p>
```","Lawson, Keller and Winters",Kitchen Appliances,,in_stock,XS,XS,1282898648918,227
advanced-router-rechargeable,Advanced Router Rechargeable,"```html
<p><strong>Advanced Router Rechargeable</strong></p>
<p>Experience the power of advanced technology with our rechargeable router. Designed for optimal performance, it ensures seamless connectivity and reliability.</p>
<ul>
    <li>Powerful gas energy efficiency</li>
    <li>Compact and portable design</li>
    <li>Easy to recharge and use</li>
    <li>Ideal for both home and office use</li>
</ul>
```",Gallagher and Sons,Kitchen Appliances,,discontinued,L,L,3879177514583,121
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,"```html
<p>Introducing the <strong>Portable Mouse Monitor Phone</strong>, a versatile device designed for your convenience.</p>
<ul>
    <li>Compact and lightweight for easy portability</li>
    <li>High-resolution display for clear visuals</li>
    <li>Compatible with various devices</li>
    <li>Long-lasting battery life</li>
</ul>
<p>Experience the perfect blend of functionality and style with this innovative product.</p>
```",Irwin LLC,Kids' Clothing,,discontinued,100x200 mm,100x200 mm,9055773261265,1
radio,Radio,"```html
<p><strong>Radio</strong></p>
<p>Character proves growth and contains serious customer appeal.</p>
```","Benjamin, Nelson and Hancock",Skincare,,pre_order,30x40 cm,30x40 cm,1150028980156,426
ultra-projector-oven-thermostat-prime-advanced,Ultra Projector Oven Thermostat Prime Advanced,"```html
<p><strong>Ultra Projector Oven Thermostat Prime Advanced</strong></p>
<p>Pattern possible look necessary indicate work nearly.</p>
```","Mccoy, Waters and Rose",Laptops & Computers,,discontinued,S,S,5029747624534,68
webcam-stove-grill,Webcam Stove Grill,"```html
<h1>Webcam Stove Grill</h1>
<p>Experience the ultimate cooking convenience with the Webcam Stove Grill. Designed for efficiency and ease of use, this grill is perfect for any culinary enthusiast.</p>
<ul>
    <li><strong>Deep Cooking Area:</strong> Ample space for all your grilling needs.</li>
    <li><strong>Durable Construction:</strong> Built to withstand high temperatures and heavy use.</li>
    <li><strong>Easy to Clean:</strong> Designed for quick and hassle-free maintenance.</li>
</ul>
<p>Upgrade your cooking experience with the Webcam Stove Grill today!</p>
```",Morrow and Sons,Automotive,,pre_order,8x10 in,8x10 in,9883725074294,159
eco-radio,Eco Radio,"```html
<p><strong>Eco Radio</strong></p>
<p>Know father for act let.</p>
```","Edwards, Odonnell and Conley",Skincare,,pre_order,Medium,Medium,1773215338624,454
ultra-powerbank-brush-charger-max,Ultra Powerbank Brush Charger Max,"```html
<p><strong>Ultra Powerbank Brush Charger Max</strong></p>
<p>Meeting your economic needs while on the go.</p>
<ul>
    <li>Powerful and efficient charging</li>
    <li>Compact and portable design</li>
    <li>Ideal for outdoor use</li>
</ul>
```","Brennan, Archer and Rosales",Fitness Equipment,,discontinued,Extra Large,Extra Large,4877111475333,845
wireless-dock,Wireless Dock,"```html
<p><strong>Wireless Dock</strong></p>
<p>Experience whole bill sound with our Wireless Dock. Enjoy seamless connectivity and high-quality audio in any setting.</p>
<ul>
    <li>High-quality sound</li>
    <li>Seamless connectivity</li>
    <li>Compact design</li>
</ul>
```",Russo-West,Health & Wellness,,pre_order,Extra Large,Extra Large,9680811891595,257
fast-camera-router-fan-smart,Fast Camera Router Fan Smart,"```html
<p><strong>Fast Camera Router Fan Smart</strong></p>
<p>Various above trouble itself crime form.</p>
```",Vazquez and Sons,Cleaning Supplies,,pre_order,Medium,Medium,8567222480604,221
heater-radio,Heater Radio,"```html
<p><strong>Heater Radio</strong></p>
<p>Ten do evidence billion perhaps read bank enter.</p>
```",Delgado-Blackwell,Cycling,,pre_order,L,L,5686660235911,689
smart-trimmer-webcam-heater,Smart Trimmer Webcam Heater,"```html
<h1>Smart Trimmer Webcam Heater</h1>
<p>Experience the ultimate convenience with the Smart Trimmer Webcam Heater. This innovative device is designed to enhance your video calls and online meetings by providing optimal warmth and comfort.</p>
<ul>
    <li><strong>Efficient Heating:</strong> Quickly warms up your workspace for a cozy environment.</li>
    <li><strong>Webcam Integration:</strong> Seamlessly integrates with your webcam for a streamlined setup.</li>
    <li><strong>Compact Design:</strong> Space-saving design that fits perfectly on your desk.</li>
    <li><strong>Easy to Use:</strong> Simple controls for quick adjustments to your preferred temperature.</li>
</ul>
<p>Upgrade your video conferencing experience with the Smart Trimmer Webcam Heater!</p>
```",Contreras PLC,Automotive,,pre_order,XXL,XXL,1941032767914,279
webcam-dock-heater,Webcam Dock Heater,"```html
<p><strong>Webcam Dock Heater</strong></p>
<p>Experience the perfect blend of functionality and style with our Webcam Dock Heater. This innovative device not only enhances your workspace but also keeps you warm during those long hours in front of the screen.</p>
<ul>
    <li>Efficient heating technology</li>
    <li>Sleek and modern design</li>
    <li>Compatible with most webcams</li>
    <li>Easy to use and set up</li>
</ul>
<p>Stay cozy and productive with the Webcam Dock Heater!</p>
```","Juarez, Powell and Travis",Cleaning Supplies,,pre_order,30x40 cm,30x40 cm,1438856474369,101
automatic-watch-lite-sense,Automatic Watch Lite Sense,"```html
<p><strong>Automatic Watch Lite Sense</strong></p>
<p>As east entire positive source their.</p>
```","Reid, Chase and Ballard",Team Sports,,limited_stock,5x7 in,5x7 in,3500722785805,316
eco-iron-monitor-air,Eco Iron Monitor Air,"```html
<p><strong>Eco Iron Monitor Air</strong></p>
<p>Color single indeed yard event popular food boy.</p>
```",Barker-Murphy,Automotive,,out_of_stock,XL,XL,7887280730963,982
