Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-printer-air-advanced-digital,Compact Printer Air Advanced Digital,"```html
<p><strong>Compact Printer Air Advanced Digital</strong></p>
<p>Experience seamless organization with our Compact Printer Air Advanced Digital. This innovative printer is designed to enhance your productivity and streamline your workflow.</p>
<ul>
    <li>Compact and portable design</li>
    <li>Advanced digital printing technology</li>
    <li>Easy connectivity options</li>
    <li>High-quality prints</li>
    <li>Ideal for home and office use</li>
</ul>
```","Garner, Boyle and Flynn",Books & Stationery,,pre_order,Large,ForestGreen,2091465262179,265
tablet,Tablet,"```html
<h1>Tablet</h1>
<p>Discussion loss politics free one thousand.</p>
```",Mueller Inc,Shoes & Footwear,,in_stock,8x10 in,Black,5286196620740,502
smart-blender-cooker,Smart Blender Cooker,"```html
<p><strong>Smart Blender Cooker</strong></p>
<p>The Smart Blender Cooker is the perfect kitchen companion for all your cooking and blending needs. With its innovative design and multifunctional capabilities, you can easily prepare a variety of meals with minimal effort.</p>
<ul>
    <li><strong>Versatile Cooking Options:</strong> Blend, cook, steam, and sauté all in one appliance.</li>
    <li><strong>User-Friendly Interface:</strong> Easy-to-use controls and preset functions for quick meal preparation.</li>
    <li><strong>Compact Design:</strong> Space-saving design fits perfectly in any kitchen.</li>
    <li><strong>Easy to Clean:</strong> Removable parts are dishwasher safe for hassle-free cleaning.</li>
</ul>
<p>Upgrade your cooking experience with the Smart Blender Cooker!</p>
```","Lawson, Keller and Winters",Kitchen Appliances,,in_stock,XS,SlateGray,1282898648918,227
advanced-router-rechargeable,Advanced Router Rechargeable,"```html
<p><strong>Advanced Router Rechargeable</strong></p>
<p>Experience the power of advanced technology with our rechargeable router. Designed for optimal performance, this router ensures a seamless connection for all your devices.</p>
<ul>
    <li>High-speed connectivity</li>
    <li>Long-lasting rechargeable battery</li>
    <li>Compact and portable design</li>
    <li>Easy setup and user-friendly interface</li>
</ul>
```",Gallagher and Sons,Kitchen Appliances,,discontinued,L,PaleGreen,3879177514583,121
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,"```html
<p>Introducing the <strong>Portable Mouse Monitor Phone</strong>, a versatile device designed for your on-the-go lifestyle.</p>
<ul>
    <li>Compact and lightweight for easy portability</li>
    <li>High-resolution display for clear visuals</li>
    <li>Compatible with various devices</li>
    <li>Long-lasting battery life</li>
</ul>
<p>Stay connected and productive wherever you are!</p>
```",Irwin LLC,Kids' Clothing,,discontinued,100x200 mm,SeaShell,9055773261265,1
radio,Radio,"```html
<p><strong>Radio</strong></p>
<p>Character proves growth and contains serious customer appeal.</p>
```","Benjamin, Nelson and Hancock",Skincare,,pre_order,30x40 cm,CornflowerBlue,1150028980156,426
ultra-projector-oven-thermostat-prime-advanced,Ultra Projector Oven Thermostat Prime Advanced,"```html
<p><strong>Ultra Projector Oven Thermostat Prime Advanced</strong></p>
<p>Pattern possible look necessary indicate work nearly.</p>
```","Mccoy, Waters and Rose",Laptops & Computers,,discontinued,S,Purple,5029747624534,68
webcam-stove-grill,Webcam Stove Grill,"```html
<p><strong>Webcam Stove Grill</strong></p>
<p>Experience the ultimate cooking convenience with our Webcam Stove Grill. Perfect for outdoor gatherings and indoor cooking alike.</p>
<ul>
    <li>Deep cooking area for versatile meal preparation</li>
    <li>Durable design for long-lasting use</li>
    <li>Easy to clean and maintain</li>
</ul>
```",Morrow and Sons,Automotive,,pre_order,8x10 in,MediumOrchid,9883725074294,159
eco-radio,Eco Radio,"```html
<p><strong>Eco Radio</strong></p>
<p>Know father for act let.</p>
```","Edwards, Odonnell and Conley",Skincare,,pre_order,Medium,DimGray,1773215338624,454
ultra-powerbank-brush-charger-max,Ultra Powerbank Brush Charger Max,"```html
<p><strong>Ultra Powerbank Brush Charger Max</strong></p>
<p>Meeting your economic tasks on the go has never been easier.</p>
<ul>
    <li>Powerful charging capabilities</li>
    <li>Compact and portable design</li>
    <li>Ideal for outdoor use</li>
    <li>Compatible with various devices</li>
</ul>
```","Brennan, Archer and Rosales",Fitness Equipment,,discontinued,Extra Large,Silver,4877111475333,845
