Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-printer-air-advanced-digital,Compact Printer Air Advanced Digital,"```html
<p><strong>Compact Printer Air Advanced Digital</strong></p>
<p>Experience seamless organization with our advanced digital printing technology. This compact printer is designed to enhance your memory management and streamline your workflow.</p>
<ul>
    <li>Compact and portable design</li>
    <li>Advanced digital printing capabilities</li>
    <li>Efficient memory organization</li>
    <li>User-friendly interface</li>
</ul>
```","Garner, Boyle and Flynn",Books & Stationery,pre_order,774,Large,ForestGreen,2091465262179,265
tablet,Tablet,"```html
<p><strong>Tablet</strong></p>
<p>Discussion on loss, politics, and more.</p>
<ul>
    <li>High-quality display</li>
    <li>Lightweight and portable</li>
    <li>Long battery life</li>
    <li>Multiple applications available</li>
</ul>
```",Mueller Inc,Shoes & Footwear,in_stock,81,8x10 in,Black,5286196620740,502
smart-blender-cooker,Smart Blender Cooker,"```html
<p><strong>Smart Blender Cooker</strong></p>
<p>The Smart Blender Cooker is designed to simplify your cooking experience. With its advanced features, you can effortlessly prepare a variety of meals.</p>
<ul>
    <li>Multi-functional: Blend, cook, and steam all in one device.</li>
    <li>User-friendly interface with easy-to-read display.</li>
    <li>Compact design fits perfectly in any kitchen.</li>
    <li>Easy to clean with dishwasher-safe components.</li>
</ul>
<p>Upgrade your kitchen with the Smart Blender Cooker and enjoy delicious meals with minimal effort!</p>
```","Lawson, Keller and Winters",Kitchen Appliances,in_stock,726,XS,SlateGray,1282898648918,227
advanced-router-rechargeable,Advanced Router Rechargeable,"```html
<p><strong>Advanced Router Rechargeable</strong></p>
<p>Experience powerful performance with our Advanced Router Rechargeable. Designed for efficiency and convenience, this router ensures a seamless internet connection.</p>
<ul>
    <li>Rechargeable battery for uninterrupted use</li>
    <li>High-speed connectivity</li>
    <li>Compact and portable design</li>
    <li>Easy setup and management</li>
</ul>
```",Gallagher and Sons,Kitchen Appliances,discontinued,896,L,PaleGreen,3879177514583,121
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,"```html
<p>Introducing the <strong>Portable Mouse Monitor Phone</strong>, a versatile device designed for your on-the-go lifestyle.</p>
<ul>
    <li>Compact and lightweight for easy portability</li>
    <li>High-resolution display for clear visuals</li>
    <li>Compatible with various devices</li>
    <li>Long-lasting battery life</li>
    <li>User-friendly interface</li>
</ul>
<p>Experience convenience and efficiency with the Portable Mouse Monitor Phone.</p>
```",Irwin LLC,Kids' Clothing,discontinued,925,100x200 mm,SeaShell,9055773261265,1
radio,Radio,"```html
<p><strong>Radio</strong></p>
<p>Character prove growth contain serious customer.</p>
```","Benjamin, Nelson and Hancock",Skincare,pre_order,549,30x40 cm,CornflowerBlue,1150028980156,426
ultra-projector-oven-thermostat-prime-advanced,Ultra Projector Oven Thermostat Prime Advanced,"```html
<p><strong>Ultra Projector Oven Thermostat Prime Advanced</strong></p>
<p>Pattern possible look necessary indicate work nearly.</p>
```","Mccoy, Waters and Rose",Laptops & Computers,discontinued,870,S,Purple,5029747624534,68
webcam-stove-grill,Webcam Stove Grill,"```html
<p><strong>Webcam Stove Grill</strong></p>
<p>Deep area join carry age.</p>
```",Morrow and Sons,Automotive,pre_order,584,8x10 in,MediumOrchid,9883725074294,159
eco-radio,Eco Radio,"```html
<p><strong>Eco Radio</strong></p>
<p>Know father for act let.</p>
```","Edwards, Odonnell and Conley",Skincare,pre_order,499,Medium,DimGray,1773215338624,454
ultra-powerbank-brush-charger-max,Ultra Powerbank Brush Charger Max,"```html
<p><strong>Ultra Powerbank Brush Charger Max</strong></p>
<p>Perfect for meeting your economic tasks on the go.</p>
```","Brennan, Archer and Rosales",Fitness Equipment,discontinued,564,Extra Large,Silver,4877111475333,845
wireless-dock,Wireless Dock,"```html
<p><strong>Wireless Dock</strong></p>
<p>Experience whole bill sound with our Wireless Dock. Enjoy seamless connectivity and high-quality audio for all your devices.</p>
<ul>
    <li>High-quality audio</li>
    <li>Seamless connectivity</li>
    <li>Compatible with multiple devices</li>
</ul>
```",Russo-West,Health & Wellness,pre_order,168,Extra Large,Wheat,9680811891595,257
fast-camera-router-fan-smart,Fast Camera Router Fan Smart,"```html
<p><strong>Fast Camera Router Fan Smart</strong></p>
<p>Various above trouble itself crime form.</p>
```",Vazquez and Sons,Cleaning Supplies,pre_order,672,Medium,MidnightBlue,8567222480604,221
heater-radio,Heater Radio,"```html
<p><strong>Heater Radio</strong></p>
<p>Ten do evidence billion perhaps read bank enter.</p>
```",Delgado-Blackwell,Cycling,pre_order,156,L,Orange,5686660235911,689
smart-trimmer-webcam-heater,Smart Trimmer Webcam Heater,"```html
<h1>Smart Trimmer Webcam Heater</h1>
<p>Experience enhanced comfort and convenience with the Smart Trimmer Webcam Heater. This innovative device is designed to keep you warm while you work or stream, ensuring you stay focused and productive.</p>
<ul>
    <li><strong>Efficient Heating:</strong> Quickly warms up your space for optimal comfort.</li>
    <li><strong>Compact Design:</strong> Sleek and portable, perfect for any workspace.</li>
    <li><strong>Easy to Use:</strong> Simple controls for effortless operation.</li>
    <li><strong>Versatile:</strong> Ideal for home offices, streaming setups, and more.</li>
</ul>
<p>Upgrade your workspace with the Smart Trimmer Webcam Heater and enjoy a cozy environment all year round.</p>
```",Contreras PLC,Automotive,pre_order,818,XXL,Gainsboro,1941032767914,279
webcam-dock-heater,Webcam Dock Heater,"```html
<p>Introducing the <strong>Webcam Dock Heater</strong>, a perfect blend of functionality and style for your workspace.</p>
<ul>
    <li>Efficient heating to keep your space comfortable.</li>
    <li>Compact design that fits seamlessly on your desk.</li>
    <li>Compatible with most webcam setups.</li>
    <li>Easy to use with simple controls.</li>
</ul>
<p>Upgrade your workspace with the Webcam Dock Heater today!</p>
```","Juarez, Powell and Travis",Cleaning Supplies,pre_order,159,30x40 cm,Sienna,1438856474369,101
