Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-printer-air-advanced-digital,Compact Printer Air Advanced Digital,"```html
<p><strong>Compact Printer Air Advanced Digital</strong></p>
<p>Organize your memories effortlessly with the Compact Printer Air Advanced Digital. This innovative printer allows you to print high-quality photos directly from your device, making it easier than ever to preserve your favorite moments.</p>
<ul>
    <li>Compact and portable design</li>
    <li>High-quality photo printing</li>
    <li>Easy connectivity with multiple devices</li>
    <li>User-friendly interface</li>
</ul>
```","Garner, Boyle and Flynn",Books & Stationery,,pre_order,Large,ForestGreen,2091465262179,265
tablet,Tablet,"```html
<p><strong>Tablet</strong></p>
<p>Discussion loss politics free one thousand.</p>
```",Mueller Inc,Shoes & Footwear,,in_stock,8x10 in,Black,5286196620740,502
smart-blender-cooker,Smart Blender Cooker,"```html
<p><strong>Smart Blender Cooker</strong></p>
<p>The Smart Blender Cooker is designed to simplify your cooking experience. With its advanced features, you can easily prepare a variety of meals with minimal effort.</p>
<ul>
    <li>Multi-functional: Blend, cook, and steam all in one device.</li>
    <li>Easy to use: Intuitive controls for effortless operation.</li>
    <li>Compact design: Fits perfectly in any kitchen space.</li>
    <li>Easy to clean: Dishwasher-safe components for hassle-free maintenance.</li>
</ul>
<p>Upgrade your kitchen with the Smart Blender Cooker and enjoy delicious meals in no time!</p>
```","Lawson, Keller and Winters",Kitchen Appliances,,in_stock,XS,SlateGray,1282898648918,227
advanced-router-rechargeable,Advanced Router Rechargeable,"```html
<p><strong>Advanced Router Rechargeable</strong></p>
<p>Experience the power of advanced technology with our rechargeable router. Designed for optimal performance, it ensures seamless connectivity and reliability.</p>
<ul>
    <li>High-speed internet access</li>
    <li>Long-lasting rechargeable battery</li>
    <li>Compact and portable design</li>
    <li>Easy setup and user-friendly interface</li>
</ul>
```",Gallagher and Sons,Kitchen Appliances,,discontinued,L,PaleGreen,3879177514583,121
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,"```html
<p><strong>Portable Mouse Monitor Phone</strong></p>
<p>Experience the convenience of our Portable Mouse Monitor Phone. This innovative device combines functionality and portability, making it perfect for on-the-go use.</p>
<ul>
    <li>Compact design for easy transport</li>
    <li>High-resolution display for clear visuals</li>
    <li>Compatible with various devices</li>
    <li>Long-lasting battery life</li>
</ul>
<p>Upgrade your mobile experience with this essential gadget!</p>
```",Irwin LLC,Kids' Clothing,,discontinued,100x200 mm,SeaShell,9055773261265,1
radio,Radio,"```html
<p><strong>Radio</strong></p>
<p>Character prove growth contain serious customer.</p>
```","Benjamin, Nelson and Hancock",Skincare,,pre_order,30x40 cm,CornflowerBlue,1150028980156,426
ultra-projector-oven-thermostat-prime-advanced,Ultra Projector Oven Thermostat Prime Advanced,"```html
<p><strong>Ultra Projector Oven Thermostat Prime Advanced</strong></p>
<p>Pattern possible look necessary indicate work nearly.</p>
```","Mccoy, Waters and Rose",Laptops & Computers,,discontinued,S,Purple,5029747624534,68
webcam-stove-grill,Webcam Stove Grill,"```html
<p><strong>Webcam Stove Grill</strong></p>
<p>Deep area join carry age.</p>
```",Morrow and Sons,Automotive,,pre_order,8x10 in,MediumOrchid,9883725074294,159
eco-radio,Eco Radio,"```html
<p><strong>Eco Radio</strong></p>
<p>Know father for act let.</p>
```","Edwards, Odonnell and Conley",Skincare,,pre_order,Medium,DimGray,1773215338624,454
ultra-powerbank-brush-charger-max,Ultra Powerbank Brush Charger Max,"```html
<p><strong>Ultra Powerbank Brush Charger Max</strong></p>
<p>Perfect for on-the-go charging, the Ultra Powerbank Brush Charger Max is designed to meet your economic needs while you are outside.</p>
<ul>
    <li>Compact and portable design</li>
    <li>High-capacity power bank</li>
    <li>Brush charger for easy use</li>
    <li>Ideal for outdoor activities</li>
</ul>
```","Brennan, Archer and Rosales",Fitness Equipment,,discontinued,Extra Large,Silver,4877111475333,845
