Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price
compact-printer-air-advanced-digital,Compact Printer Air Advanced Digital,<p><strong>Compact Printer Air Advanced Digital</strong></p><p>Situation organization these memory much off.</p>,"Garner, Boyle and Flynn",Books & Stationery,,774,Large,Large,2091465262179,265
tablet,Tablet,<p><strong>Tablet</strong></p><p>Discussion loss politics free one thousand.</p>,Mueller Inc,Shoes & Footwear,,81,8x10 in,8x10 in,5286196620740,502
smart-blender-cooker,Smart Blender Cooker,<p><strong>Smart Blender Cooker</strong></p><p>No situation per.</p>,"Lawson, Keller and Winters",Kitchen Appliances,,726,XS,XS,1282898648918,227
advanced-router-rechargeable,Advanced Router Rechargeable,<p><strong>Advanced Router Rechargeable</strong></p><p>For force gas energy six laugh.</p>,Gallagher and Sons,Kitchen Appliances,,896,L,L,3879177514583,121
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,<p><strong>Portable Mouse Monitor Phone</strong></p><p>Feeling back religious however author room scientist.</p>,Irwin LLC,Kids' Clothing,,925,100x200 mm,100x200 mm,9055773261265,1
radio,Radio,<p><strong>Radio</strong></p><p>Character prove growth contain serious customer.</p>,"Benjamin, Nelson and Hancock",Skincare,,549,30x40 cm,30x40 cm,1150028980156,426
ultra-projector-oven-thermostat-prime-advanced,Ultra Projector Oven Thermostat Prime Advanced,<p><strong>Ultra Projector Oven Thermostat Prime Advanced</strong></p><p>Pattern possible look necessary indicate work nearly.</p>,"Mccoy, Waters and Rose",Laptops & Computers,,870,S,S,5029747624534,68
webcam-stove-grill,Webcam Stove Grill,<p><strong>Webcam Stove Grill</strong></p><p>Deep area join carry age.</p>,Morrow and Sons,Automotive,,584,8x10 in,8x10 in,9883725074294,159
eco-radio,Eco Radio,<p><strong>Eco Radio</strong></p><p>Know father for act let.</p>,"Edwards, Odonnell and Conley",Skincare,,499,Medium,Medium,1773215338624,454
ultra-powerbank-brush-charger-max,Ultra Powerbank Brush Charger Max,<p><strong>Ultra Powerbank Brush Charger Max</strong></p><p>Meeting add economic task outside.</p>,"Brennan, Archer and Rosales",Fitness Equipment,,564,Extra Large,Extra Large,4877111475333,845
wireless-dock,Wireless Dock,<p><strong>Wireless Dock</strong></p><p>Whole bill sound whether will.</p>,Russo-West,Health & Wellness,,168,Extra Large,Extra Large,9680811891595,257
fast-camera-router-fan-smart,Fast Camera Router Fan Smart,<p><strong>Fast Camera Router Fan Smart</strong></p><p>Various above trouble itself crime form.</p>,Vazquez and Sons,Cleaning Supplies,,672,Medium,Medium,8567222480604,221
heater-radio,Heater Radio,<p><strong>Heater Radio</strong></p><p>Ten do evidence billion perhaps read bank enter.</p>,Delgado-Blackwell,Cycling,,156,L,L,5686660235911,689
smart-trimmer-webcam-heater,Smart Trimmer Webcam Heater,<p><strong>Smart Trimmer Webcam Heater</strong></p><p>Example available better.</p>,Contreras PLC,Automotive,,818,XXL,XXL,1941032767914,279
webcam-dock-heater,Webcam Dock Heater,<p><strong>Webcam Dock Heater</strong></p><p>State yet soon traditional your deal.</p>,"Juarez, Powell and Travis",Cleaning Supplies,,159,30x40 cm,30x40 cm,1438856474369,101
automatic-watch-lite-sense,Automatic Watch Lite Sense,<p><strong>Automatic Watch Lite Sense</strong></p><p>As east entire positive source their.</p>,"Reid, Chase and Ballard",Team Sports,,329,5x7 in,5x7 in,3500722785805,316
eco-iron-monitor-air,Eco Iron Monitor Air,<p><strong>Eco Iron Monitor Air</strong></p><p>Color single indeed yard event popular food boy.</p>,Barker-Murphy,Automotive,,47,XL,XL,7887280730963,982
digital-tablet-router-printer-lite,Digital Tablet Router Printer Lite,<p><strong>Digital Tablet Router Printer Lite</strong></p><p>Accept campaign every research test.</p>,Vazquez-Smith,Health & Wellness,,732,10x10 cm,10x10 cm,4170125892616,3
eco-freezer-powerbank-watch,Eco Freezer Powerbank Watch,<p><strong>Eco Freezer Powerbank Watch</strong></p><p>Of price visit interesting enter three set.</p>,"Pruitt, Higgins and Barnett",Cleaning Supplies,,618,S,S,6340907128242,340
cooler-fan,Cooler Fan,<p><strong>Cooler Fan</strong></p><p>Fall billion city share.</p>,Bray LLC,Smartphones,,844,XS,XS,267078141619,529
portable-camera-plus-air-ultra,Portable Camera Plus Air Ultra,<p><strong>Portable Camera Plus Air Ultra</strong></p><p>Reality hair explain up bad.</p>,Wang-Valenzuela,Women's Clothing,,163,L,L,963840013930,197
wireless-powerbank-360-advanced-ultra,Wireless Powerbank 360 Advanced Ultra,<p><strong>Wireless Powerbank 360 Advanced Ultra</strong></p><p>Deal head decade age outside military culture.</p>,Carney Ltd,Bedding & Bath,,418,M,M,3918763032312,677
rechargeable-lamp-speakerphone-headphones,Rechargeable Lamp Speakerphone Headphones,<p><strong>Rechargeable Lamp Speakerphone Headphones</strong></p><p>Effort own safe main walk quickly.</p>,"Gallegos, Osborne and Carpenter",Skincare,,577,L,L,1824359393441,664
