Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src
discussion-loss-politics-free-one-thousand-,Discussion loss politics free one thousand.,<p><strong>Discussion loss politics free one thousand.</strong></p><p>Mueller Inc</p>,Shoes & Footwear,502,8x10,in_stock,https://picsum.photos/id/2/800/800.jpg in,Black,5286196620740,USD,https://picsum.photos/id/2/800/800.jpg
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong></p><p>Discover the features of our amazing product:</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>Experience quality and performance like never before!</p>,,,,,,,,,
for-force-gas-energy-six-laugh-,For force gas energy six laugh.,<p><strong>For force gas energy six laugh.</strong></p><p>Gallagher and Sons</p>,Kitchen Appliances,121,L,31,discontinued,PaleGreen,3879177514583,USD,
feeling-back-religious-however-author-room-scientist-,Feeling back religious however author room scientist.,<p><strong>Feeling back religious however author room scientist.</strong></p><p>Irwin LLC</p>,Kids' Clothing,1,100x200 mm,10,discontinued,SeaShell,9055773261265,USD,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make it a must-have item.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul>,,,,,,,,,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the features and benefits of our amazing product. It is designed to meet your needs and exceed your expectations.</p><ul><li>Feature 1: Explanation of feature 1.</li><li>Feature 2: Explanation of feature 2.</li><li>Feature 3: Explanation of feature 3.</li></ul><p>Experience the quality and performance that our product offers!</p>,,,,,,,,,
deep-area-join-carry-age-,Deep area join carry age.,<p><strong>Deep area join carry age.</strong></p><p>Morrow and Sons</p>,Automotive,159,8x10 in,50,pre_order,MediumOrchid,9883725074294,USD,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul>,,,,,,,,,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of the product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1</li><li>Feature 2: Description of feature 2</li><li>Feature 3: Description of feature 3</li></ul>,,,,,,,,,
whole-bill-sound-whether-will-,Whole bill sound whether will.,<p><strong>Whole bill sound whether will.</strong></p><p>Russo-West</p>,Health & Wellness,257,Extra Large,30,pre_order,Wheat,9680811891595,USD,
various-above-trouble-itself-crime-form-,Various above trouble itself crime form.,<p><strong>Title:</strong> Various above trouble itself crime form.</p><p><strong>Description:</strong> Vazquez and Sons</p>,Cleaning Supplies,221,Medium,32,pre_order,MidnightBlue,8567222480604,USD,
ten-do-evidence-billion-perhaps-read-bank-enter-,Ten do evidence billion perhaps read bank enter.,<p><strong>Title:</strong> Ten do evidence billion perhaps read bank enter.</p><p><strong>Description:</strong> Delgado-Blackwell</p>,Cycling,689,L,57,pre_order,Orange,5686660235911,USD,
example-available-better-,Example available better.,<p><strong>Example available better.</strong></p><p>Contreras PLC</p>,Automotive,279,XXL,66,pre_order,Gainsboro,1941032767914,USD,
,,<p><strong>Title:</strong></p><p>Description:</p><ul><li>High-quality materials</li><li>Durable and long-lasting</li><li>Available in multiple sizes</li><li>Perfect for everyday use</li></ul>,,,,,,,,,
,,"<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of the product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>Experience the quality and craftsmanship of our product, designed to meet your needs and exceed your expectations.</p>",,,,,,,,,
color-single-indeed-yard-event-popular-food-boy-,Color single indeed yard event popular food boy.,<p><strong>Color single indeed yard event popular food boy.</strong></p><p>Barker-Murphy</p>,Automotive,982,XL,79,out_of_stock,OliveDrab,7887280730963,USD,
accept-campaign-every-research-test-,Accept campaign every research test.,<p><strong>Accept campaign every research test.</strong></p><p>Vazquez-Smith</p>,Health & Wellness,3,10x10 cm,87,backorder,LemonChiffon,4170125892616,USD,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the features and benefits of our exceptional product. It is designed to meet your needs and exceed your expectations.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>Experience the quality and performance that our product offers!</p>,,,,,,,,,
fall-billion-city-share-,Fall billion city share.,<p><strong>Fall Billion City Share</strong></p><p>Bray LLC</p>,Smartphones,529,XS,22,backorder,Bisque,0267078141619,USD,
reality-hair-explain-up-bad-,Reality hair explain up bad.,<p><strong>Reality hair explain up bad.</strong></p><p>Description: Wang-Valenzuela</p>,Women's Clothing,197,L,96,in_stock,Magenta,0963840013930,USD,
deal-head-decade-age-outside-military-culture-,Deal head decade age outside military culture.,<p><strong>Deal head decade age outside military culture.</strong></p><p>Carney Ltd</p>,Bedding & Bath,677,M,90,out_of_stock,Beige,3918763032312,USD,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong></p><p>Discover the features and benefits of our product:</p><ul><li>Feature 1: Description of feature 1</li><li>Feature 2: Description of feature 2</li><li>Feature 3: Description of feature 3</li></ul><p>Experience quality and satisfaction with every purchase!</p>,,,,,,,,,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the amazing features of our product. It is designed to meet your needs and exceed your expectations. Here are some key highlights:</p><ul><li>High-quality materials</li><li>Innovative design</li><li>Easy to use</li><li>Durable and long-lasting</li></ul><p>Experience the difference with our product today!</p>,,,,,,,,,
movement-you-mr-decide-history-effect-,Movement you Mr decide history effect.,<p><strong>Movement you Mr decide history effect.</strong></p><p>Horn-Pope</p>,Health & Wellness,900,5x7 in,47,out_of_stock,PaleGreen,6501687247749,USD,
from-congress-low-,From Congress low.,<p><strong>From Congress low</strong></p><p>Khan-Parrish</p>,Cycling,909,XXL,93,limited_stock,CadetBlue,9496081864722,USD,
live-fish-audience-piece-his-ago-true-,Live fish audience piece his ago true.,<p><strong>Live Fish Audience Piece</strong></p><p>Burton PLC</p>,Automotive,350,XL,61,pre_order,Snow,3486711401836,USD,
pull-at-improve-health-also-animal-forward-person-,Pull at improve health also animal forward person.,<p><strong>Pull at Improve Health Also Animal Forward Person</strong></p><p>Henry Group</p>,Clothing & Apparel,858,50x70 cm,43,limited_stock,LightSalmon,7097613907430,USD,
other-another-must-explain-send-somebody-consider-,Other another must explain send somebody consider.,<p><strong>Title:</strong> Other another must explain send somebody consider.</p><p><strong>Description:</strong> Larson-Spence</p>,Furniture,985,Extra Large,40,in_stock,SaddleBrown,8301096575048,USD,
my-head-prove-exist-change-,My head prove exist change.,<p><strong>My head prove exist change.</strong></p><p>Bonilla-Spears</p>,Kids' Clothing,576,L,40,pre_order,DarkSlateGray,6639325474032,USD,
region-week-yet-weight-,Region week yet weight.,<p><strong>Region week yet weight.</strong></p><p>Love LLC</p>,Sports & Outdoors,102,L,14,limited_stock,MediumSpringGreen,5564792899662,USD,
