Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Image Src
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of the product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1</li><li>Feature 2: Description of feature 2</li><li>Feature 3: Description of feature 3</li></ul>,,,,,,,,,
tablet,Tablet,<p><strong>Tablet</strong></p><p>Discussion loss politics free one thousand.</p>,Mueller Inc,Shoes & Footwear,,81.0,8x10 in,8x10 in,5286196620740.0,502.0,https://picsum.photos/id/2/800/800.jpg
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the exceptional features of our product that make it a must-have for your collection. This product is designed with quality and functionality in mind.</p><ul><li>Feature 1: Brief description of feature 1.</li><li>Feature 2: Brief description of feature 2.</li><li>Feature 3: Brief description of feature 3.</li></ul><p>Experience the difference with our product today!</p>,,,,,,,,,
advanced-router-rechargeable,Advanced Router Rechargeable,<p><strong>Advanced Router Rechargeable</strong></p><p>For force gas energy six laugh.</p>,Gallagher and Sons,Kitchen Appliances,,896.0,L,L,3879177514583.0,121.0,https://picsum.photos/id/1/800/800.jpg
portable-mouse-monitor-phone,Portable Mouse Monitor Phone,<p><strong>Portable Mouse Monitor Phone</strong></p><p>Feeling back religious however author room scientist.</p>,Irwin LLC,Kids' Clothing,,925.0,100x200 mm,100x200 mm,9055773261265.0,1.0,https://picsum.photos/id/2/800/800.jpg
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul>,,,,,,,,,
,,"<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of the product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>For more information, please refer to the product details above.</p>",,,,,,,,,
webcam-stove-grill,Webcam Stove Grill,<p><strong>Webcam Stove Grill</strong></p><p>Deep area join carry age.</p>,Morrow and Sons,Automotive,,584.0,8x10 in,8x10 in,9883725074294.0,159.0,
,,<p><strong>Title:</strong></p><p>Description:</p><ul><li>High-quality materials</li><li>Durable and long-lasting</li><li>Available in multiple sizes</li><li>Perfect for everyday use</li></ul>,,,,,,,,,
,,"<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of the product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>For more information, please refer to the specifications or contact our support team.</p>",,,,,,,,,
wireless-dock,Wireless Dock,<p><strong>Wireless Dock</strong></p><p>Whole bill sound whether will.</p>,Russo-West,Health & Wellness,,168.0,Extra Large,Extra Large,9680811891595.0,257.0,
fast-camera-router-fan-smart,Fast Camera Router Fan Smart,<p><strong>Fast Camera Router Fan Smart</strong></p><p>Various above trouble itself crime form.</p>,Vazquez and Sons,Cleaning Supplies,,672.0,Medium,Medium,8567222480604.0,221.0,
heater-radio,Heater Radio,<p><strong>Heater Radio</strong></p><p>Ten do evidence billion perhaps read bank enter.</p>,Delgado-Blackwell,Cycling,,156.0,L,L,5686660235911.0,689.0,
smart-trimmer-webcam-heater,Smart Trimmer Webcam Heater,<p><strong>Smart Trimmer Webcam Heater</strong></p><p>Example available better.</p>,Contreras PLC,Automotive,,818.0,XXL,XXL,1941032767914.0,279.0,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make this product a must-have.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul>,,,,,,,,,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make it a must-have item for customers.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>Experience the quality and craftsmanship that sets our product apart from the rest.</p>,,,,,,,,,
eco-iron-monitor-air,Eco Iron Monitor Air,<p><strong>Eco Iron Monitor Air</strong></p><p>Color single indeed yard event popular food boy.</p>,Barker-Murphy,Automotive,,47.0,XL,XL,7887280730963.0,982.0,
digital-tablet-router-printer-lite,Digital Tablet Router Printer Lite,<p><strong>Digital Tablet Router Printer Lite</strong></p><p>Accept campaign every research test.</p>,Vazquez-Smith,Health & Wellness,,732.0,10x10 cm,10x10 cm,4170125892616.0,3.0,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the features and benefits of our amazing product. It is designed to meet your needs and exceed your expectations.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul><p>Experience quality and performance like never before!</p>,,,,,,,,,
cooler-fan,Cooler Fan,<p><strong>Cooler Fan</strong></p><p>Fall billion city share.</p>,Bray LLC,Smartphones,,844.0,XS,XS,267078141619.0,529.0,
portable-camera-plus-air-ultra,Portable Camera Plus Air Ultra,<p><strong>Portable Camera Plus Air Ultra</strong></p><p>Reality hair explain up bad.</p>,Wang-Valenzuela,Women's Clothing,,163.0,L,L,963840013930.0,197.0,
wireless-powerbank-360-advanced-ultra,Wireless Powerbank 360 Advanced Ultra,<p><strong>Wireless Powerbank 360 Advanced Ultra</strong></p><p>Deal head decade age outside military culture.</p>,Carney Ltd,Bedding & Bath,,418.0,M,M,3918763032312.0,677.0,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> Discover the features and benefits of our amazing product. It is designed to meet your needs and exceed your expectations. Here are some key highlights:</p><ul><li>High-quality materials</li><li>Innovative design</li><li>Durable and long-lasting</li><li>Available in multiple colors</li></ul><p>Experience the difference with our product today!</p>,,,,,,,,,
,,<p><strong>Title:</strong> Your Product Title Here</p><p><strong>Description:</strong> This is a brief description of your product. It highlights the key features and benefits that make it a must-have for customers.</p><ul><li>Feature 1: Description of feature 1.</li><li>Feature 2: Description of feature 2.</li><li>Feature 3: Description of feature 3.</li></ul>,,,,,,,,,
rechargeable-webcam-stove-grill,Rechargeable Webcam Stove Grill,<p><strong>Rechargeable Webcam Stove Grill</strong></p><p>Movement you Mr decide history effect.</p>,Horn-Pope,Health & Wellness,,623.0,5x7 in,5x7 in,6501687247749.0,900.0,
mini-iron-drone-wireless-pro,Mini Iron Drone Wireless Pro,<p><strong>Mini Iron Drone Wireless Pro</strong></p><p>From Congress low.</p>,Khan-Parrish,Cycling,,797.0,XXL,XXL,9496081864722.0,909.0,
portable-freezer-phone-automatic-smart,Portable Freezer Phone Automatic Smart,<p><strong>Portable Freezer Phone Automatic Smart</strong></p><p>Live fish audience piece his ago true.</p>,Burton PLC,Automotive,,756.0,XL,XL,3486711401836.0,350.0,
wireless-webcam-stove-grill,Wireless Webcam Stove Grill,<p><strong>Wireless Webcam Stove Grill</strong></p><p>Pull at improve health also animal forward person.</p>,Henry Group,Clothing & Apparel,,912.0,50x70 cm,50x70 cm,7097613907430.0,858.0,
clock-brush,Clock Brush,<p><strong>Clock Brush</strong></p><p>Other another must explain send somebody consider.</p>,Larson-Spence,Furniture,,180.0,Extra Large,Extra Large,8301096575048.0,985.0,
keyboard-toaster-monitor,Keyboard Toaster Monitor,<p><strong>Keyboard Toaster Monitor</strong></p><p>My head prove exist change.</p>,Bonilla-Spears,Kids' Clothing,,988.0,L,L,6639325474032.0,576.0,
